rouge_1_f1,rouge_l_f1,bleu,meteor,bert_f1,emb_sim,faith,composite,temperature,query
0.13559322033898302,0.0903954802259887,0.011057534069681994,0.23668079436499007,0.4609271287918091,0.5952767133712769,0.7811693489551543,0.371610802385937,0.1,Recommend a good fast charging USB-C cable under 300 rupees
0.3076923076923077,0.2051282051282051,0.025571611365295552,0.282610229276896,0.5466650724411011,0.6667451858520508,0.8548212766647338,0.45172817975727403,0.1,Which cable has the highest rating and supports 60W charging
0.20625000000000002,0.125,0.007531658245685432,0.2444758276125421,0.44682109355926514,0.7186608910560608,0.8455774486064911,0.41054473642812744,0.1,What is the best iPhone lightning cable in the list?
0.11764705882352941,0.07647058823529411,0.004419585743077427,0.1535087719298246,0.4932873845100403,0.5529707670211792,0.7029008269309998,0.34708612129450966,0.1,Suggest me some good long lasting headphones
0.17316017316017315,0.11255411255411257,0.019937962814140536,0.3106025291642762,0.5063458681106567,0.5637175440788269,0.8053549408912659,0.39702107416004023,0.3,Recommend a good fast charging USB-C cable under 300 rupees
0.3333333333333333,0.2222222222222222,0.03026457500336624,0.22875816993464052,0.6118956208229065,0.6490797400474548,0.8088029086589812,0.456565882627204,0.3,Which cable has the highest rating and supports 60W charging
0.22153846153846155,0.12923076923076923,0.004867608986103063,0.2324817101051669,0.44982168078422546,0.7800391316413879,0.8346285998821259,0.42236204700385493,0.3,What is the best iPhone lightning cable in the list?
0.10734463276836158,0.07344632768361582,0.003692192437148979,0.11450381679389314,0.47581714391708374,0.5193061232566833,0.712059623003006,0.3296453607389048,0.3,Suggest me some good long lasting headphones
0.13186813186813187,0.09523809523809523,0.01758939713911941,0.2807016479198464,0.527635931968689,0.6284155249595642,0.8828623473644257,0.41245313233303926,0.5,Recommend a good fast charging USB-C cable under 300 rupees
0.11799410029498525,0.10619469026548674,0.0063966807770873026,0.1982839313572543,0.4318740963935852,0.6828821301460266,0.897372943162918,0.3870833812812375,0.5,Which cable has the highest rating and supports 60W charging
0.2043343653250774,0.11764705882352941,0.004918572542728962,0.19393939393939397,0.4551009237766266,0.7286865711212158,0.8619288325309753,0.40748633718154,0.5,What is the best iPhone lightning cable in the list?
0.1347517730496454,0.0851063829787234,0.004228992852292115,0.15873015873015875,0.5693920254707336,0.49158522486686707,0.7001123785972595,0.35689452789837267,0.5,Suggest me some good long lasting headphones
0.14906832298136646,0.11801242236024843,0.015151457180248606,0.24512140622672426,0.4689652621746063,0.6577404141426086,0.8100555658340454,0.3947863861417728,0.7,Recommend a good fast charging USB-C cable under 300 rupees
0.125,0.09375,0.004241709563881807,0.20790721136570942,0.47424888610839844,0.6873321533203125,0.8921271204948424,0.39872661690189093,0.7,Which cable has the highest rating and supports 60W charging
0.22349570200573066,0.12607449856733524,0.007752472122414238,0.21893491124260359,0.46844595670700073,0.7548257112503052,0.8128131806850434,0.4179304534512541,0.7,What is the best iPhone lightning cable in the list?
0.11506849315068494,0.07671232876712328,0.016303814675351424,0.16364479033497262,0.4701915979385376,0.5526906251907349,0.712620884180069,0.34470329515035014,0.7,Suggest me some good long lasting headphones
0.16309012875536483,0.1201716738197425,0.013268918031913157,0.32179930795847755,0.5049840807914734,0.6981631517410278,0.8130553841590882,0.4251071572164564,0.9,Recommend a good fast charging USB-C cable under 300 rupees
0.37681159420289856,0.2608695652173913,0.03160328811392314,0.2752592840414854,0.6083778142929077,0.7371074557304382,0.797365814447403,0.48746986352369903,0.9,Which cable has the highest rating and supports 60W charging
0.19886363636363635,0.125,0.004508996384844662,0.20905923344947736,0.47960740327835083,0.7933088541030884,0.807558512687683,0.4235156212012434,0.9,What is the best iPhone lightning cable in the list?
0.10289389067524117,0.08360128617363344,0.004433683573016984,0.12996941896024466,0.5312094688415527,0.5446882843971252,0.723146241903305,0.3526429471663696,0.9,Suggest me some good long lasting headphones
0.16356877323420074,0.11895910780669144,0.021835385704657373,0.2738740959894806,0.5177100300788879,0.6643916964530945,0.8047827064990998,0.4143015585332279,1.2,Recommend a good fast charging USB-C cable under 300 rupees
0.21250000000000002,0.1625,0.006552229632313837,0.20454545454545459,0.5355050563812256,0.6495341062545776,0.9011743068695068,0.42273755717822215,1.2,Which cable has the highest rating and supports 60W charging
0.23076923076923078,0.1242603550295858,0.015169546679028943,0.2582124798131232,0.5167106986045837,0.7268866300582886,0.8233516395092011,0.4326419498334768,1.2,What is the best iPhone lightning cable in the list?
0.15909090909090906,0.08333333333333334,0.020988118274646,0.2456326184733721,0.5331218242645264,0.5386640429496765,0.7710431993007659,0.38130371342703817,1.2,Suggest me some good long lasting headphones
