rouge_1_f1,rouge_l_f1,bleu,meteor,bert_f1,emb_sim,faith,composite,chunk_strategy,query
0.15492957746478875,0.11267605633802819,0.021281586076735474,0.311956636433287,0.5311712026596069,0.692661464214325,0.8117187798023224,0.42817918894094725,full,Recommend a good fast charging USB-C cable under 300 rupees
0.3466666666666666,0.24,0.018067698274016518,0.258320251177394,0.5421998500823975,0.6600204110145569,0.7707769632339477,0.4438532152175829,full,Which cable has the highest rating and supports 60W charging
0.21725239616613418,0.11501597444089456,0.006195828088984298,0.20072992700729927,0.4537714123725891,0.7316957712173462,0.8311120808124541,0.40684912433855813,full,What is the best iPhone lightning cable in the list?
0.17123287671232876,0.0958904109589041,0.024345474603694538,0.24309554140127385,0.5381960272789001,0.5972416996955872,0.7388729453086853,0.39349584872739485,full,Suggest me some good long lasting headphones
0.14159292035398233,0.10619469026548672,0.017764757324790766,0.3076053749767384,0.5222345590591431,0.6511547565460205,0.8902556240558623,0.42251119652051283,split_sentences,Recommend a good fast charging USB-C cable under 300 rupees
0.2,0.14545454545454545,0.006992945159816254,0.26876739855833937,0.493119478225708,0.7194365859031677,0.8684889793395996,0.4295759435162076,split_sentences,Which cable has the highest rating and supports 60W charging
0.19680851063829788,0.11170212765957446,0.009320008769737608,0.26041666666666674,0.4789840579032898,0.7379615902900696,0.9017282664775848,0.4283567238883559,split_sentences,What is the best iPhone lightning cable in the list?
0.12462908011869435,0.0712166172106825,0.002929503248393034,0.12804097311139567,0.4598807394504547,0.5897055864334106,0.8109978854656219,0.35309475672034435,split_sentences,Suggest me some good long lasting headphones
0.12962962962962962,0.11728395061728394,0.004840832560378875,0.24262731398968654,0.45087236166000366,0.6332653164863586,0.930223786830902,0.3939630707745451,fixed_length,Recommend a good fast charging USB-C cable under 300 rupees
0.19801980198019803,0.13861386138613863,0.0067568504890174194,0.21979345731103822,0.5144445300102234,0.6668949127197266,0.8777689814567566,0.417075083174368,fixed_length,Which cable has the highest rating and supports 60W charging
0.1792717086834734,0.11764705882352941,0.009294694886685082,0.20403414308372986,0.45559537410736084,0.584308385848999,0.8673251926898955,0.37871950766755785,fixed_length,What is the best iPhone lightning cable in the list?
0.18260869565217389,0.1043478260869565,0.01118397750301529,0.234394832595267,0.4991520047187805,0.7250555157661438,0.7762272298336028,0.4123951021297888,fixed_length,Suggest me some good long lasting headphones
