rouge_1_f1,rouge_l_f1,bleu,meteor,bert_f1,emb_sim,faith,composite,prompt_id,query
0.15723270440251572,0.1069182389937107,0.020770436627006415,0.29586180346553337,0.5251818895339966,0.7065024375915527,0.8320845246315003,0.428675820887113,1,Recommend a good fast charging USB-C cable under 300 rupees
0.22598870056497175,0.14689265536723164,0.02310998505849009,0.2594403247774394,0.5381409525871277,0.687680721282959,0.8946537137031554,0.44005193658937447,1,Which cable has the highest rating and supports 60W charging
0.25089605734767023,0.13620071684587812,0.01304763299923889,0.2700505843362986,0.5528704524040222,0.6499711871147156,0.8443440258502959,0.4331682814787018,1,What is the best iPhone lightning cable in the list?
0.158102766798419,0.11067193675889328,0.014957686251084939,0.23317007972922388,0.5434343218803406,0.548615574836731,0.7165228009223938,0.38058272646989405,1,Suggest me some good long lasting headphones
0.040280210157618214,0.03152364273204904,0.004019658503651661,0.12320920661135364,0.3931565582752228,0.4150693118572235,0.9921792268753051,0.30658465675881585,2,Recommend a good fast charging USB-C cable under 300 rupees
0.044897959183673466,0.03877551020408163,0.002293602882633054,0.08145849495733129,0.4395180642604828,0.6649811863899231,0.9946508705615997,0.36315632186990376,2,Which cable has the highest rating and supports 60W charging
0.07759456838021339,0.06013579049466537,0.0028151802261533188,0.15644652616605528,0.40305307507514954,0.5620171427726746,0.9951850533485411,0.3502067354931879,2,What is the best iPhone lightning cable in the list?
0.05530776092774309,0.039250669045495096,0.0022157126719642185,0.1048577935068377,0.39406466484069824,0.6793200373649597,0.9888550519943238,0.3586717621731448,2,Suggest me some good long lasting headphones
0.1646090534979424,0.13168724279835395,0.026086841071120904,0.3335521367521368,0.5177108645439148,0.6434640288352966,0.799627673625946,0.42035442351519486,3,Recommend a good fast charging USB-C cable under 300 rupees
0.2531645569620253,0.189873417721519,0.01147319631899262,0.3041219665517646,0.4850359261035919,0.6703935265541077,0.9141817808151245,0.4378252770012503,3,Which cable has the highest rating and supports 60W charging
0.29387755102040813,0.14693877551020407,0.010265481294850571,0.2827559778168225,0.5404940843582153,0.7998881340026855,0.8143415033817292,0.46405687568333354,3,What is the best iPhone lightning cable in the list?
0.11320754716981131,0.07075471698113209,0.015747969563631517,0.17566494190268697,0.4772293269634247,0.5578118562698364,0.736896389722824,0.3508801066239664,3,Suggest me some good long lasting headphones
0.04098360655737705,0.029508196721311476,0.005095939819459772,0.12859661412038945,0.3962385654449463,0.4372672736644745,0.97757129073143,0.3111184915951477,4,Recommend a good fast charging USB-C cable under 300 rupees
0.052631578947368425,0.04066985645933015,0.002260114614646187,0.09589795189243976,0.38684141635894775,0.6939749121665955,0.9876550912857056,0.35821169343762704,4,Which cable has the highest rating and supports 60W charging
0.06431852986217458,0.05359877488514548,0.0016382108234168308,0.10767531750414137,0.4049690067768097,0.5988783240318298,0.9872009754180908,0.3478448632250724,4,What is the best iPhone lightning cable in the list?
0.050943396226415104,0.03773584905660377,0.0015660451376132741,0.08718980549966468,0.42379334568977356,0.6817004084587097,0.9698125183582305,0.3613726698170213,4,Suggest me some good long lasting headphones
