rouge_1_f1,rouge_l_f1,bleu,meteor,bert_f1,emb_sim,faith,composite,top_k,query
0.12244897959183672,0.07482993197278912,0.002322227939903987,0.1998850681618878,0.48053672909736633,0.4650605618953705,0.8261442601680755,0.3457035948449594,1,Recommend a good fast charging USB-C cable under 300 rupees
0.15833333333333333,0.11666666666666667,0.005097358083295998,0.20398137468495026,0.4916883409023285,0.711956262588501,0.8749740242958068,0.41141768218393515,1,Which cable has the highest rating and supports 60W charging
0.40384615384615385,0.19230769230769232,0.022542152587443205,0.2598752598752599,0.5675235390663147,0.6023246049880981,0.7669833600521088,0.4398950306248271,1,What is the best iPhone lightning cable in the list?
0.1411764705882353,0.09999999999999999,0.003530430199430577,0.1516201370691393,0.47987908124923706,0.772539496421814,0.8688263118267059,0.40857401141848015,1,Suggest me some good long lasting headphones
0.16236162361623618,0.0885608856088561,0.012904857239914429,0.2896740195451951,0.49172672629356384,0.6480187177658081,0.7764032185077667,0.4000095865556092,3,Recommend a good fast charging USB-C cable under 300 rupees
0.10852713178294573,0.08785529715762273,0.005624835510608533,0.15881417494730504,0.43478962779045105,0.6897873878479004,0.8907232999801635,0.3797500672024226,3,Which cable has the highest rating and supports 60W charging
0.1916932907348243,0.12140575079872204,0.004133989942863426,0.21798349933105396,0.44769731163978577,0.7189313173294067,0.8363940775394438,0.40377082717707125,3,What is the best iPhone lightning cable in the list?
0.18,0.1,0.009120265738207664,0.2319561798445788,0.5337111949920654,0.695529043674469,0.8232878029346467,0.4185678413268824,3,Suggest me some good long lasting headphones
0.13333333333333333,0.08695652173913043,0.0155400900993507,0.26509885589692184,0.46997910737991333,0.6312729716300964,0.8515720367431641,0.39225439774703375,5,Recommend a good fast charging USB-C cable under 300 rupees
0.3541666666666667,0.22916666666666663,0.019321562414910762,0.25363770885997905,0.6028490662574768,0.7336270213127136,0.8747611939907074,0.48322493612980394,5,Which cable has the highest rating and supports 60W charging
0.22560975609756095,0.10365853658536586,0.00479549882094044,0.22461553341715837,0.453203022480011,0.716057538986206,0.8587952494621276,0.4094904975264172,5,What is the best iPhone lightning cable in the list?
0.14814814814814814,0.08333333333333333,0.005991062865954173,0.17657992565055763,0.5238954424858093,0.5235180854797363,0.6985565602779389,0.3557673770275207,5,Suggest me some good long lasting headphones
0.11149825783972125,0.09059233449477351,0.007263970973444927,0.17699859370058613,0.47910672426223755,0.542602002620697,0.9167659521102904,0.36745892218660975,8,Recommend a good fast charging USB-C cable under 300 rupees
0.21839080459770116,0.16091954022988508,0.014331095317401702,0.22093023255813954,0.4949478209018707,0.6686258912086487,0.9039750218391418,0.42036331454933135,8,Which cable has the highest rating and supports 60W charging
0.2215743440233236,0.1282798833819242,0.004884821866700908,0.25317289421058314,0.4708837866783142,0.7394714951515198,0.8364715576171875,0.4227122405203836,8,What is the best iPhone lightning cable in the list?
0.1509433962264151,0.09433962264150943,0.011462943688318052,0.20256728383279254,0.5128035545349121,0.6031386852264404,0.7514335215091705,0.3800316666604763,8,Suggest me some good long lasting headphones
0.13134328358208955,0.10149253731343284,0.011687173226298631,0.24365116159274716,0.4970341622829437,0.6878689527511597,0.8499299764633179,0.4078253024183938,10,Recommend a good fast charging USB-C cable under 300 rupees
0.16666666666666666,0.11666666666666667,0.006163937399819401,0.18129770992366412,0.5073519349098206,0.6886404752731323,0.8117846190929412,0.40188892425324063,10,Which cable has the highest rating and supports 60W charging
0.21449275362318843,0.127536231884058,0.005374964569019059,0.21126760563380284,0.4709540009498596,0.7259003520011902,0.8553590059280396,0.4148850070832039,10,What is the best iPhone lightning cable in the list?
0.12949640287769784,0.07194244604316546,0.0033506546568960265,0.12605042016806725,0.48480966687202454,0.5623198747634888,0.7540862858295441,0.34846153363664434,10,Suggest me some good long lasting headphones
0.1374570446735395,0.08934707903780069,0.01363016956447423,0.2710508474576272,0.5091863870620728,0.648726761341095,0.7702351868152618,0.3987665241614889,15,Recommend a good fast charging USB-C cable under 300 rupees
0.22485207100591714,0.14201183431952663,0.010284967773490477,0.26130233667775593,0.3538340628147125,0.6746636033058167,0.8922065615653991,0.3895221303329382,15,Which cable has the highest rating and supports 60W charging
0.19498607242339833,0.0947075208913649,0.003787850356052165,0.20134228187919465,0.5057226419448853,0.7000482082366943,0.8314479529857635,0.40913458408109726,15,What is the best iPhone lightning cable in the list?
0.12804878048780488,0.07926829268292683,0.010734195962929587,0.1616755687863384,0.4632490575313568,0.5994246006011963,0.7776877522468566,0.359522421959081,15,Suggest me some good long lasting headphones
