product_id,category
B07JW9H4J1,Computers&Accessories
B07JW9H4J1,Accessories&Peripherals
B07JW9H4J1,Cables&Accessories
B07JW9H4J1,Cables
B07JW9H4J1,USBCables
B098NS6PVG,Computers&Accessories
B098NS6PVG,Accessories&Peripherals
B098NS6PVG,Cables&Accessories
B098NS6PVG,Cables
B098NS6PVG,USBCables
B096MSW6CT,Computers&Accessories
B096MSW6CT,Accessories&Peripherals
B096MSW6CT,Cables&Accessories
B096MSW6CT,Cables
B096MSW6CT,USBCables
B08HDJ86NZ,Computers&Accessories
B08HDJ86NZ,Accessories&Peripherals
B08HDJ86NZ,Cables&Accessories
B08HDJ86NZ,Cables
B08HDJ86NZ,USBCables
B08CF3B7N1,Computers&Accessories
B08CF3B7N1,Accessories&Peripherals
B08CF3B7N1,Cables&Accessories
B08CF3B7N1,Cables
B08CF3B7N1,USBCables
B08Y1TFSP6,Computers&Accessories
B08Y1TFSP6,Accessories&Peripherals
B08Y1TFSP6,Cables&Accessories
B08Y1TFSP6,Cables
B08Y1TFSP6,USBCables
B08WRWPM22,Computers&Accessories
B08WRWPM22,Accessories&Peripherals
B08WRWPM22,Cables&Accessories
B08WRWPM22,Cables
B08WRWPM22,USBCables
B08DDRGWTJ,Computers&Accessories
B08DDRGWTJ,Accessories&Peripherals
B08DDRGWTJ,Cables&Accessories
B08DDRGWTJ,Cables
B08DDRGWTJ,USBCables
B008IFXQFU,Computers&Accessories
B008IFXQFU,NetworkingDevices
B008IFXQFU,NetworkAdapters
B008IFXQFU,WirelessUSBAdapters
B082LZGK39,Computers&Accessories
B082LZGK39,Accessories&Peripherals
B082LZGK39,Cables&Accessories
B082LZGK39,Cables
B082LZGK39,USBCables
B08CF3D7QR,Computers&Accessories
B08CF3D7QR,Accessories&Peripherals
B08CF3D7QR,Cables&Accessories
B08CF3D7QR,Cables
B08CF3D7QR,USBCables
B0789LZTCJ,Computers&Accessories
B0789LZTCJ,Accessories&Peripherals
B0789LZTCJ,Cables&Accessories
B0789LZTCJ,Cables
B0789LZTCJ,USBCables
B07KSMBL2H,Electronics
B07KSMBL2H,"HomeTheater,TV&Video"
B07KSMBL2H,Accessories
B07KSMBL2H,Cables
B07KSMBL2H,HDMICables
B085DTN6R2,Computers&Accessories
B085DTN6R2,Accessories&Peripherals
B085DTN6R2,Cables&Accessories
B085DTN6R2,Cables
B085DTN6R2,USBCables
B09KLVMZ3B,Computers&Accessories
B09KLVMZ3B,Accessories&Peripherals
B09KLVMZ3B,Cables&Accessories
B09KLVMZ3B,Cables
B09KLVMZ3B,USBCables
B083342NKJ,Computers&Accessories
B083342NKJ,Accessories&Peripherals
B083342NKJ,Cables&Accessories
B083342NKJ,Cables
B083342NKJ,USBCables
B0B6F7LX4C,Electronics
B0B6F7LX4C,"HomeTheater,TV&Video"
B0B6F7LX4C,Televisions
B0B6F7LX4C,SmartTelevisions
B082LSVT4B,Computers&Accessories
B082LSVT4B,Accessories&Peripherals
B082LSVT4B,Cables&Accessories
B082LSVT4B,Cables
B082LSVT4B,USBCables
B08WRBG3XW,Computers&Accessories
B08WRBG3XW,Accessories&Peripherals
B08WRBG3XW,Cables&Accessories
B08WRBG3XW,Cables
B08WRBG3XW,USBCables
B08DPLCM6T,Electronics
B08DPLCM6T,"HomeTheater,TV&Video"
B08DPLCM6T,Televisions
B08DPLCM6T,SmartTelevisions
B09C6HXFC1,Computers&Accessories
B09C6HXFC1,Accessories&Peripherals
B09C6HXFC1,Cables&Accessories
B09C6HXFC1,Cables
B09C6HXFC1,USBCables
B085194JFL,Electronics
B085194JFL,"HomeTheater,TV&Video"
B085194JFL,Accessories
B085194JFL,Cables
B085194JFL,HDMICables
B09F6S8BT6,Electronics
B09F6S8BT6,"HomeTheater,TV&Video"
B09F6S8BT6,Televisions
B09F6S8BT6,SmartTelevisions
B09NHVCHS9,Computers&Accessories
B09NHVCHS9,Accessories&Peripherals
B09NHVCHS9,Cables&Accessories
B09NHVCHS9,Cables
B09NHVCHS9,USBCables
B0B1YVCJ2Y,Electronics
B0B1YVCJ2Y,"HomeTheater,TV&Video"
B0B1YVCJ2Y,Televisions
B0B1YVCJ2Y,SmartTelevisions
B01M4GGIVU,Electronics
B01M4GGIVU,"HomeTheater,TV&Video"
B01M4GGIVU,Accessories
B01M4GGIVU,Cables
B01M4GGIVU,HDMICables
B08B42LWKN,Electronics
B08B42LWKN,"HomeTheater,TV&Video"
B08B42LWKN,Televisions
B08B42LWKN,SmartTelevisions
B094JNXNPV,Computers&Accessories
B094JNXNPV,Accessories&Peripherals
B094JNXNPV,Cables&Accessories
B094JNXNPV,Cables
B094JNXNPV,USBCables
B09W5XR9RT,Computers&Accessories
B09W5XR9RT,Accessories&Peripherals
B09W5XR9RT,Cables&Accessories
B09W5XR9RT,Cables
B09W5XR9RT,USBCables
B077Z65HSD,Computers&Accessories
B077Z65HSD,Accessories&Peripherals
B077Z65HSD,Cables&Accessories
B077Z65HSD,Cables
B077Z65HSD,USBCables
B00NH11PEY,Computers&Accessories
B00NH11PEY,Accessories&Peripherals
B00NH11PEY,Cables&Accessories
B00NH11PEY,Cables
B00NH11PEY,USBCables
B09CMM3VGK,Computers&Accessories
B09CMM3VGK,Accessories&Peripherals
B09CMM3VGK,Cables&Accessories
B09CMM3VGK,Cables
B09CMM3VGK,USBCables
B08QSC1XY8,Computers&Accessories
B08QSC1XY8,Accessories&Peripherals
B08QSC1XY8,Cables&Accessories
B08QSC1XY8,Cables
B08QSC1XY8,USBCables
