product_id,user_id,review_id,review_title,review_content
B08WRBG3XW,AG4LMDCRAAKD4U2FZ6B6N75KTHXA,R3ALQNTJN4ER9N,Can't support Oppo mobile for fast charging,Good
B09JPC82QC,AHP24JLRZ2DTLBEX22A6DVUJDSBA,R1BIBCTNJPJOX3,Priceworthy.,then DO NOT unbox the tv until MI representative arrives.This ensures
B09JPC82QC,AGLKKKJCKHZ32S7MCK46JWDZ2A3A,R2RRCA47QEK9C1,It's a good product,that if TV is damaged in transportation
B09JPC82QC,AHXCZCBKCKFAOJJ2GOCQS3OKPQOQ,R2WHV3RU3J4985,Good,then you will get replacement easily.@ If you didn't choose installation
B09JPC82QC,AHZ4UBDUCUMY6IGCR67LB4P5RBXA,R22K5MQ8Z8N6L2,Vivid picture quality is stunning,then just SHOOT the video of unboxing by yourself
B09JPC82QC,AHCGV72I3RKXOSSUNK3SQOB677NA,R3TQACIQUXT2WO,SUPER DEAL,to avoid any hassle in case replacement is needed.@ Amazon Prime and Netflix are not inbuilt
B09JPC82QC,AFTCOTLY72MCSV5WHMHSZ67ZZG6A,R2YKPF09C6G76,Value for money,but can be Side-loaded !!!@ To use your Set top box with android interface
B09L8DSSFH,AH5G2FWQ6AJBXK2IDCA22BNQTT2A,RVEWH0LAEO3NH,Overall Good,Overall replacement of original samsung remote.its compatible easily with my samsung uhd tv.but there is no voice command in the remote.
B09L8DSSFH,AEEV73PQDYYMSQSW46LQMZ526YVQ,R3E42NTD6HXN1Q,Works well. Will comment on durability after using it for a few months.,Works well. Will comment on durability after using it for a few months.
B09L8DSSFH,AHWB25RGISH5XJ2YQCR4J6FDBPOQ,R3IC0VLPIDBPTY,Nice product,It uses two AA battery.Seems durable.
B09L8DSSFH,AE2PYPC3OF2HEF4NCE63FBFFFOMQ,R1F0O9EAQGRSQS,Channel button doesn't work,Product quality of good. But the channel button doesn't work. I did return and replaced the same product
B09L8DSSFH,AHYUM6XUA4K6V4QEAPT5MLQQIDPA,R2B02VD2RPE2SE,Compatible with every smart tv,but it's th same result
B09L8DSSFH,AG6U2ZW7UGA562DK4W6NVANEMKDA,RO2E58ZA8YH7E,functionality at a budget,channel button doesn't work
B09L8DSSFH,AFALQ6JKOEKVRVI3BZ2G5PJ63HQQ,R10AUMHF2MJRRU,Number keys not working,Good to go with this rather than purchasing a original one from samsung
B09L8DSSFH,AGAXJLX3K3I7WQKQA4Q4NT2IJ2WQ,R1BBQYI4QO69ID,It's good to go ahead with this,we have an expensive samsung TV.TV is great but original remote started draining battery and we had to put in new battery every 5 days which was not ideal.replacing with original remote is a costly affair ( 4k ?)this is a good cheap replacement- has all the functionalities except voice (which we rarely use)
